Name1,Name2,Name3,Price,Discount,Country,Producer,VendorCode,Weight,WeightUnit,Compound,Protein,Fat,Carbo,Portion,Guid,Adult,Link,CategoriesEnum
Рахат-Лукум Ассорти,,,3.34,,Россия,"ООО ""Азовская кондитерская фабрика"", 346780, Ростовская обл., г. Азов, Кагальницкое шоссе, 5А, Россия..",-899818225,200,гр,"Восточные сладости. Ассорти из малины, яблока, апельсина и классического рахат-лукума.",,,,,7c688f4b-0073-479b-b460-7f9b34dea961,False,https://avatars.mds.yandex.net/get-eda/3483997/5c91980c1bb7c304bf81b8df9d1df42b/{w}x{h},
Паста Нутелла Шоколадно-Ореховая,Паста Нутелла Шоколадно-Ореховая 180гр,,12.40,,Россия,Ферреро Руссия ЗАО,-895196011,180,гр,Паста Нутелла Шоколадно-Ореховая 180гр,,,,,5ace1ef3-cb62-45ea-9554-e67af9a3089b,False,https://avatars.mds.yandex.net/get-eda/3401132/7eb3b8d8e1a6d326b6d85613ecb4cc37/{w}x{h},
Паста Нутти Шоколадно-Молочная,Паста Нутти Шоколадно-Молочная 330гр,,7.36,,Россия,Марк Iv Смп ООО,-1119798734,330,гр,Паста Нутти Шоколадно-Молочная 330гр,,,,,7ea84407-338d-4396-88f4-abc882b8355a,False,https://avatars.mds.yandex.net/get-eda/3583740/dac774eead5e7467042a7de16607ff5f/{w}x{h},
Паста Арахисовая Карамельная Хрустящая,Паста Арахисовая Карамельная Хрустящая 200гр,,12.67,,Россия,Москвина ИП,-1125235245,200,гр,Паста Арахисовая Карамельная Хрустящая 200гр,,,,,77a9c4e2-5b54-44d6-b802-5e93757dc0de,False,https://avatars.mds.yandex.net/get-eda/3531870/3052ee0d5d159e4d0772b1f094edbdc8/{w}x{h},
Паста Арахисовая Американская Хрустящая,Паста Арахисовая Американская Хрустящая 200гр,,10.55,,Россия,Москвина ИП,-1090351919,200,гр,Паста Арахисовая Американская Хрустящая 200гр,,,,,5fae3efd-d99a-4f7d-ba6d-409fac825757,False,https://avatars.mds.yandex.net/get-eda/2394388/1eb1a25b49a4044578314859a1b2ae95/{w}x{h},
Конфеты Сорбон Мини-Рожок Хрустящий с Начинкой Миндаль-Воздушные зёрна,,,13.08,,Иран,Solico Kallleh,-913981429,200,гр,Набор конфет Sorbon мини-рожки  - это вкусное лакомство в хрустящем вафельном стаканчике с какаосодержащей начинкой.,,,,,199f4f4d-2895-444f-93fe-3ac642be9eef,False,https://avatars.mds.yandex.net/get-eda/3559865/61b9504ea2b1a46753467655ee5d561a/{w}x{h},
Конфеты Рафаэлло Миндаль,Нежные конфеты с цельным миндальным орехом в кокосовой обсыпке.,,4.95,,Россия,"ЗАО ""Ферреро Руссия"", 601211, Владимирская обл., Собинский р-н, с. Ворша, кондитерская фабрика ""Ферреро"", Россия",-895195018,40,гр,Нежные конфеты с цельным миндальным орехом в кокосовой обсыпке.,,,,,1c36c298-67af-49ca-963b-af18d61c670c,False,https://avatars.mds.yandex.net/get-eda/3491582/1dccd2eddb704487d607d7617f6090b7/{w}x{h},
Конфеты Сорбон Мини-Рожок Хрустящий с Начинкой Фундук,,,12.56,,Иран,Solico Kallleh,-899818201,200,гр,Набор конфет Sorbon мини-рожки  - это вкусное лакомство в хрустящем вафельном стаканчике с какаосодержащей начинкой.,,,,,cd6b9467-50d7-411c-91f2-664f6a1ab551,False,https://avatars.mds.yandex.net/get-eda/3735503/31060c324d7d13ee6e515c75160719f0/{w}x{h},
Конфеты Сорбон Мини-Рожок Хрустящий с Начинкой Стреляющая Карамель,,,13.08,,Иран,Solico Kallleh,-895195954,200,гр,Набор конфет Sorbon мини-рожки  - это вкусное лакомство в хрустящем вафельном стаканчике с какаосодержащей начинкой.,,,,,bcd75668-ec15-40c9-a04f-e972ea265d99,False,https://avatars.mds.yandex.net/get-eda/3790679/a37139eb63ef2f4f63d5597ef7b2f82b/{w}x{h},
Конфеты Бушерон Гурмет Фисташка,Конфеты Бушерон Гурмет Фисташка 175гр,,11.79,,Россия,Собрание ООО,-899763009,175,гр,Конфеты Бушерон Гурмет Фисташка 175гр,,,,,987d3c9c-708d-4146-97b1-135b32ee8249,False,https://avatars.mds.yandex.net/get-eda/3534679/b263c0be5d4e875404a9f963ed0f860a/{w}x{h},
Конфеты Сорбон Мини-Рожок Хрустящий с Начинкой Кофе-Воздушные Зерна,,,12.56,,Иран,Solico Kallleh,-899763011,200,гр,Конфеты Sorbon  мини-рожки - это вкусное лакомство в хрустящем вафельном стаканчике с какаосодержащей начинкой.,,,,,abaa0008-4fc2-423b-922e-a516e99d92c7,False,https://avatars.mds.yandex.net/get-eda/3512182/ef6a26e2b44e3584dcf5fd4533e31719/{w}x{h},
Конфеты Сорбон Мини-рожок Хрустящий с Начинкой Арахис-Воздушные Зерна,,,13.08,,Иран,Solico Kallleh,-895195956,200,гр,Набор конфет Sorbon мини-рожки  - это вкусное лакомство в хрустящем вафельном стаканчике с какаосодержащей начинкой.,,,,,c0e62c43-3ead-4e4d-b0db-341d402317f2,False,https://avatars.mds.yandex.net/get-eda/3595513/adb22d43f3a2ddccb91ac9c4c665f767/{w}x{h},
Конфеты Сорбон Мини-Рожок Хрустящий с Начинкой Сохан-Воздушные Зерна,,,13.08,,Иран,Solico Kallleh,-913981382,200,гр,Набор конфет Sorbon мини-рожки  - это вкусное лакомство в хрустящем вафельном стаканчике с какаосодержащей начинкой.,,,,,e7909325-3e81-4994-9f01-036f71e31622,False,https://avatars.mds.yandex.net/get-eda/3377781/4315e3fb28035b8cfe0a43fbbf922e62/{w}x{h},
Круассаны 7 Дней Мини Клубника,Круассаны 7 Дней Мини Клубника 105гр,,2.80,,Греция,Chipita,-895195279,105,гр,,,,,,80775b3e-acae-43e5-b2c8-d8d0cf4410d8,False,https://avatars.mds.yandex.net/get-eda/2783965/7329ebeee7ea0ae1655a013dc630352e/{w}x{h},
Пирожное Бисквитное Медвежонок Барни с Шоколадной Начинкой,,,6.21,3.73,Швейцария,Mondelez,-895195838,150,гр,"Бисквитное пирожное ""Медвежонок Барни"" с шоколадной начинкой  в форме медвежонка - это питательный продукт, в котором сбалансированы необходимые ребёнку элементы для того, чтобы он мог сытно подкрепиться. Это мягкий мишка, который нравится детям, и в полезности которого уверены мамы.",,,,,0648896e-51df-437a-8a82-9b02ac758d2b,False,https://avatars.mds.yandex.net/get-eda/3809330/a3c7e5cef2040f957d52402531bcc6cb/{w}x{h},
Пирожное Бисквитное Медвежонок Барни с Молочной Начинкой,,,1.44,1.01,Россия,"ООО «Мондэлис Русь» 601123, Владимирская обл., Петушинский р-н, г. Покров, ул. Франца Штольверка, д. 10, Россия.",-895194760,30,гр,Бисквит с молочной начинкой станет классным снеком для детей. Без добавленных консервантов и красителей — лучший выбор.,,,,,8bd09442-3784-4916-9300-f58e7207e514,False,https://avatars.mds.yandex.net/get-eda/3507668/6f22ce7371e88249c4e4fdc0fd8c2d65/{w}x{h},
Пирожное Бисквитное Медвежонок Барни с Шоколадной Начинкой,,,1.39,,Украина,"ЧАО ""Мондэлис Украина"", 42600, Украина, Сумская обл., г.Тростянец, ул.Набережная, 28А",-895194657,30,гр,Бисквит с шоколадной начинкой станет классным снеком для детей. Без добавленных консервантов и красителей — лучший выбор.,,,,,97a1d2cc-5a7e-4a1d-ab1e-5f21ec88def5,False,https://avatars.mds.yandex.net/get-eda/3667559/38bf9297de0e6a492cf1466a80c9facd/{w}x{h},
Пирожное Бисквитное Медвежонок Барни с Молочной Начинкой,,,6.08,,Россия,"ООО «Мондэлис Русь» 601123, Владимирская обл., Петушинский р-н, г. Покров, ул. Франца Штольверка, д. 10, Россия.",-895195839,150,гр,"Бисквитное пирожное ""Медвежонок Барни"" с молочной начинкой  в форме медвежонка - это питательный продукт, в котором сбалансированы необходимые ребёнку элементы для того, чтобы он мог сытно подкрепиться. Это мягкий мишка, который нравится детям, и в полезности которого уверены мамы.",,,,,dc562eba-2404-4595-8be4-a65e3fef48b0,False,https://avatars.mds.yandex.net/get-eda/3682162/9af719aadcaa1b82ebd2cea2a84fcfa3/{w}x{h},
Сироп Чудское Озеро Карамель,,,4.01,2.41,Россия,Лактис АО,-899763003,200,мл,"Самый популярный сироп среди кофеманов, обладает мягким карамельным вкусом и теплым сладким ароматом. 
Используется как добавка ко всем классическим видам кофе, а также в авторских кофейных напитках. 
Превосходно сочетается как с молочной составляющей, так и с фруктовыми соками в составе кофейных коктейлей.",,,,,a4cf6bd0-1773-49d5-91b3-22d6c2bfaf41,False,https://avatars.mds.yandex.net/get-eda/3813301/d3e32b7d98e5756dba52b3f98e1d7be4/{w}x{h},
Сироп Чудское Озеро Шоколад,Сироп со вкусом шоколада 200 мл,,4.01,,Россия,Лактис АО,-895196068,200,мл,Сироп со вкусом шоколада 200 мл,,,,,81bcd9a2-c469-41dc-a1d4-2536a7aeccf3,False,https://avatars.mds.yandex.net/get-eda/3583862/f2e06cdac6b2c0bf9d89ed3c6acbc536/{w}x{h},
Топпинг Махеевъ Молочный с Какао,Топпинг Махеевъ Молочный с Какао 300гр,,3.89,2.72,Россия,Эссен Продакшн АГ ЗАО,-895195129,300,гр,Топпинг Махеевъ Молочный с Какао 300гр,,,,,ba54acd5-ef8d-4f31-9019-0fc4eb655a7d,False,https://avatars.mds.yandex.net/get-eda/3513074/f21ec28bdda06b00b96649c1708b3389/{w}x{h},
Топпинг Махеевъ Мягкая Карамель,,,3.89,,Россия,Эссен Продакшн АГ ЗАО,-895196065,300,гр,"Топпинг ""Мягкая карамель"" ""Махеевъ"" дой-пак с доз. /300 г./Кор. (16 шт)/Н",,,,,1d3500a0-35fd-4543-8e02-2413a93e3569,False,https://avatars.mds.yandex.net/get-eda/3569651/1d5655fd4c960f58e96608b097b34f11/{w}x{h},
Сироп Чудское Озеро Ваниль,,,4.01,,Россия,Лактис АО,-899763002,200,мл,"Самый популярный сироп среди кофеманов, обладает мягким карамельным вкусом и теплым сладким ароматом. 
Используется как добавка ко всем классическим видам кофе, а также в авторских кофейных напитках. 
Превосходно сочетается как с молочной составляющей, так и с фруктовыми соками в составе кофейных коктейлей.",,,,,a495d7da-a21c-4547-93a6-76afdf7dd6b8,False,https://avatars.mds.yandex.net/get-eda/3682162/df68b5da0024dcab1d6480756c9219c1/{w}x{h},
Резинка Жевательная Эклипс Лесные Ягоды,Жевательная резинка Eclipse со вкусом лесные ягоды.,,1.50,,,"ООО ""Марс"", 142800, Московская обл., г.о. Ступино, г. Ступино, ул. Ситенка, д. 12, Россия",-895194615,13.6,гр,Жевательная резинка Eclipse со вкусом лесные ягоды.,,,,,8c8d87fa-865d-4687-9cea-5e38af152e77,False,https://avatars.mds.yandex.net/get-eda/3682162/024018feeb3073f012ea1abb5d72b082/{w}x{h},
Резинка Жевательная Орбит Освежающая Мята,,,1.39,,Россия,"ООО ""Марс"", 142800, Московская обл., г.о. Ступино, г Ступино, ул. Ситенка, д.12",-899763110,13.6,гр,"Жевательная резинка Orbit Белоснежный Освежающая Мята без сахара способствует поддержанию здоровья зубов: удаляет остатки пищи, способствует уменьшению зубного налета, нейтрализует вредные кислоты, усиливает процесс реминерализации эмали.",,,,,8c966987-fc4d-45d6-91e6-36839d6852d7,False,https://avatars.mds.yandex.net/get-eda/3508859/5867545cb1b608f559a235bc139e0255/{w}x{h},
Резинка Жевательная Орбит Белоснежный Спирминт XXL,,,1.81,,Россия,"ООО ""Марс"", 142800, Московская обл., г.о. Ступино, г Ступино, ул. Ситенка, д.12, Россия",-895196104,20,гр,"Жевательная резинка Orbit Белоснежный Нежная Мята без сахара способствует поддержанию здоровья зубов: удаляет остатки пищи, способствует уменьшению зубного налета, нейтрализует вредные кислоты, усиливает процесс реминерализации эмали.",,,,,c7238640-8eb1-4063-a196-e12f6ce78d7e,False,https://avatars.mds.yandex.net/get-eda/3439767/3de2635ab05d29d65d8b3f0ef4af4e7a/{w}x{h},
Резинка Жевательная Орбит Белоснежный Бабблминт XXL,,,1.69,,Россия,"ООО «МАРС», Россия, 142800, Московская обл., г.о. Ступино, г. Ступино, ул. Ситенка, д.12.",-895195511,20.4,гр,"Жевательная резинка XXL размера ""Orbit® Белоснежный Bubblemint"" без сахара способствует поддержанию здоровья зубов: удаляет остатки пищи, способствует уменьшению зубного налета, нейтрализует вредные кислоты, усиливает процесс реминерализации эмали. *Употребление жевательной резинки каждый раз после еды способствует поддержанию чистоты и здоровья зубов в дополнение к уходу за ротовой полостью с помощью зубной щетки
",,,,,9caba863-88e3-44a0-90fa-d227378a1e16,False,https://avatars.mds.yandex.net/get-eda/3724421/e37dc6b0ab514b95fd533f7e0b439a34/{w}x{h},
Резинка Жевательная Дирол Фрут Микс ХХЛ Ассорти Фруктовых вкусов,,,1.59,,Россия,Мондэлис Русь ООО,-895194850,19,гр,Жеват.резинка б/сах. ароматизир. DIROL FRUIT MIX XXL Ассорти фруктовых вкусов 19г_18штх24бл,,,,,bd33699a-84a3-410d-a359-5900c975365d,False,https://avatars.mds.yandex.net/get-eda/3502728/ed0cc413fde801609a2f5a434cdd18c7/{w}x{h},
Резинка Жевательная Дирол Х-Фреш Арбузный Лед,,,2.09,,Россия,Мондэлис Русь ООО,-895194906,16,гр,Жеват.резинка б/сах. DIROL X-FRESH с арбузным вкусом Арбузный лед 16г_12штх8бл,,,,,6d3545c5-f840-48d7-9084-2059f299c653,False,https://avatars.mds.yandex.net/get-eda/3531870/6006eb869aec0d42d3e4b5e4cfe431f4/{w}x{h},
Резинка Жевательная Ментос Пьюр Фреш Свежая Мята,Резинка Жевательная Ментос Пьюр Фреш Свежая Мята 100гр,,9.69,,Россия,Перфетти Ван Мелле ООО,-895196095,100,гр,Резинка Жевательная Ментос Пьюр Фреш Свежая Мята 100гр,,,,,3cf0796a-d8e8-40e4-99cf-b2dca15bf3f2,False,https://avatars.mds.yandex.net/get-eda/3772784/9f222da962970cf063334f4376ccde76/{w}x{h},
Резинка Жевательная Ментос Виноград,Резинка Жевательная Ментос Виноград 54гр,,5.93,,Россия,Перфетти Ван Мелле ООО,-895196098,54,гр,Резинка Жевательная Ментос Виноград 54гр,,,,,55100138-cccb-4c74-a0c9-eb121cb72987,False,https://avatars.mds.yandex.net/get-eda/3525402/b3eeb9fa5828c7969ae6bbdf2eee0f3b/{w}x{h},
