Name1,Name2,Name3,Price,Discount,Country,Producer,VendorCode,Weight,WeightUnit,Compound,Protein,Fat,Carbo,Portion,Guid,Adult,Link,CategoriesEnum
Салат Самое Время Свекольный,Салат Свёкольный 250 г,,2.13,,Республика Беларусь,Санта Бремор СП ООО,-1239761018,250,гр,Салат Свёкольный 250 г,,,,,91c07b79-2b33-4c10-8bad-6ffb61bdefc1,False,https://avatars.mds.yandex.net/get-eda/3547279/5fbec6fe5b3d452d4a320f4e0f89dd11/{w}x{h},
Напиток Альпро Миндальный,,,5.67,,Бельгия,"Алпро Ц.В.А., Вламингстраат 28, Б-8560 Вевеигем, Бельгия.",-895194396,1,л,"Делаешь первый шаг к здоровому образу жизни? Попробуй миндальный Alpro! Миндальный орех бережно обжаривается, раскрывая свой нежный ореховый вкус и сохраняя свою пользу. В миндале содержатся натуральные антиоксиданты и полезные ненасыщенные жиры.
",,,,,d41a3d8f-9caf-4788-a9f1-3810a45ff60c,False,https://avatars.mds.yandex.net/get-eda/3808326/217ae593ecc39e74586ede1398bcec2c/{w}x{h},
Напиток Альпро Бариста Миндальный,,,5.16,,Россия,Данон,-899818292,1,л,"Просто представь, как твой любимый кофе покрывает пышная пенка миндального Alpro Barista! Он разработан для истинных кофеманов. Можешь не сомневаться - он отлично подходит и для приготовления домашнего кофе с пенкой, и для латте-арта в кофейне. 
",,,,,0426b0c0-24d4-4ee0-ac1e-9edb9d10d7b5,False,https://avatars.mds.yandex.net/get-eda/3337779/8c185dac9cceed50dc1f67fc1cb26b02/{w}x{h},
Напиток Овсяный Немолоко Шоколадный,Напиток Овсяный Немолоко Шоколадный 1л,,5.83,,Россия,Сады Придонья ОАО,-895194864,1,л,,,,,,e5077b4a-05fb-40a9-a03f-48c06451e3db,False,https://avatars.mds.yandex.net/get-eda/3504598/9c810d1f1bac160c6bcb8433567bf39e/{w}x{h},
Напиток Овсяный Немолоко Классический Лайт,Напиток Овсяный Немолоко Классический Лайт 1л,,5.34,,Россия,Сады Придонья ОАО,-895194148,1,л,,,,,,554517a3-e344-4e15-bdb5-9149d5ae04eb,False,https://avatars.mds.yandex.net/get-eda/3798638/9f041b0ce990e2bbfadf510b86a70b4e/{w}x{h},
Молоко Кокосовое Де Сиам Кокосовый Крем,"Кокосовое молоко, deSIAM, Кокосовый крем, ж/б, 165 мл ",,6.92,,Таиланд,Desiam Cuisine Co Ltd,-899762903,165,мл,"Кокосовое молоко, deSIAM, Кокосовый крем, ж/б, 165 мл ",,,,,8bdc73b4-1233-4e8b-b8ff-957e4b49bc1e,False,https://avatars.mds.yandex.net/get-eda/3529621/6ab9acec2723f7e959ad05f8f4afe0e2/{w}x{h},
Молоко Кокосовое Де Сиам,,,10.50,,Таиланд,Desiam Cuisine Co Ltd,-899818268,400,мл,"Кокосовое молоко, deSIAM, «Коконут милк» продукт консервированный из ядра кокоса , ж/б, 400 мл,",,,,,fafed913-41c1-4579-b457-707d4a298e59,False,https://avatars.mds.yandex.net/get-eda/3512182/a7a2881ac52ba6f43d727c6cadbd91d8/{w}x{h},
Крем Творожный Красная Рыба,Крем Творожный Красная Рыба 120гр,,2.76,,Республика Беларусь,Азбука Сыра ООО,-895195183,120,гр,Крем Творожный Красная Рыба 120гр,,,,,ed381f15-8d5d-4fe9-9684-23de67c48e10,False,https://avatars.mds.yandex.net/get-eda/3798638/b11570ed77725dc3ed0eb20f18bd13fe/{w}x{h},
Сливки Простоквашино Ультрапастеризованные 20%,,,5.90,,Беларусь,"СООО ""Данон Пружаны"", 225133, Брестская обл, г. Пружаны, ул. Горина-Коляды, 26а, Республика Беларусь",-899762691,350,гр,"Сливки ""Простоквашино"" изготавливаются из 100 % натурального молока и отлично подходят для приготовления крем-супов, подлив, соусов, не образуют комочков.
",,,,,70ac30f6-daf1-4469-b598-af99e9a2131d,False,https://avatars.mds.yandex.net/get-eda/3813301/43ec5161d60cb2a3083e3f75b8ecc68a/{w}x{h},
Сливки Ультапастерилизованные 20%,Сливки Ультапастерилизованные 20% 500гр,,5.81,,Республика Беларусь,Милкавита ОАО,-895194344,500,гр,,,,,,b09523d9-2853-4fe5-8b2e-0c44fbf9e028,False,https://avatars.mds.yandex.net/get-eda/3538649/9ec69cd74bb746cd803bf3041e4d1b46/{w}x{h},
Сливки Простоквашино Ультрапастеризованные 20%,,,3.64,,Россия,Данон,-1144102507,200,гр,"Сливки ""Простоквашино"" изготавливаются из 100 % натурального молока и отлично подходят для приготовления крем-супов, подлив, соусов, не образуют комочков.",,,,,df3ff74b-2bdd-4da4-8f36-0d68319ec54c,False,https://avatars.mds.yandex.net/get-eda/3725642/f43bf29ff4a0846c42c4f27675438a0d/{w}x{h},
"Сливки Милкавита Премиум 33% ",Сливки Милкавита Премиум 33%  500гр,,8.48,,Республика Беларусь,Милкавита ОАО,-895195613,500,гр,Сливки Милкавита Премиум 33%  500гр,,,,,74dd730a-1adb-418e-b684-21dd3a4b4ff5,False,https://avatars.mds.yandex.net/get-eda/3454897/10d075bd0a619e12071592ff49fb629a/{w}x{h},
Сливки Молочный Мир Стерилизованные 33%,Сливки Молочный Мир Стерилизованные 33% 500гр,,7.87,,Республика Беларусь,Молочный Мир ОАО,-899818269,500,гр,Сливки Молочный Мир Стерилизованные 33% 500гр,,,,,4e4461bd-e517-4037-8bf2-5aa58d643b84,False,https://avatars.mds.yandex.net/get-eda/3682162/4b1439f1fa7d91c5a861a4d738e8e06b/{w}x{h},
Напиток Кефирный Экспонента Обезжиренный,,,2.90,,Республика Беларусь,Горецкий Пищевой Комбинат ИООО,-1119798729,450,гр,НАПИТОК КЕФИРНЫЙ EXPONENTA ЭКСПОНЕНТА КЕФИРНАЯ ОБЕЗЖИРЕННЫЙ С ВЫСОКИМ СОДЕРЖАНИЕМ БЕЛКА 450Г,,,,,048acc0a-b109-48e1-9a96-183a10637162,False,https://avatars.mds.yandex.net/get-eda/2415806/b1e9267e8a28a4f2f35890d79a83e6d4/{w}x{h},
Напиток Кисломолочный Экспонента Обезжиренный Клубника-Арбуз,,,3.26,,Республика Беларусь,"ИООО ""Горецкий пищевой комбинат"", 213410, Могилевская обл., г. Горки, ул. Мира, д. 19, .",-899762628,250,гр,"EXPONENTA HIGH-PRO со вкусом клубники и арбуза– обезжиренный кисломолочный напиток с высоким содержанием белка, который помогает эффективно восполнить норму белка, быстро насыщает и надолго избавляет от чувства голода. Рекомендуется всем, кто заботится о себе!
",,,,,085773b8-6ed0-4534-95ab-50bd73517c71,False,https://avatars.mds.yandex.net/get-eda/2750126/d3137f59994999f2a28b4a7afeeab4e7/{w}x{h},
Напиток Кисломолочный Экспонента Хай-Про Соленая Карамель," НАПИТОК К/М ЭКСПОНЕНТА ХАЙ-ПРО СОЛЕНАЯ КАРАМЕЛЬ 250ГР",,3.26,,Республика Беларусь,Горецкий Пищевой Комбинат ИООО,-899763040,250,гр," НАПИТОК К/М ЭКСПОНЕНТА ХАЙ-ПРО СОЛЕНАЯ КАРАМЕЛЬ 250ГР",,,,,dbea54c3-8f2f-4dc8-8d46-72843642ee54,False,https://avatars.mds.yandex.net/get-eda/3538649/08a0a657da98cc69bc4762f310879b30/{w}x{h},
Напиток Кисломолочный Экспонента Обезжиренный Вишня-Ревень,,,3.26,,Республика Беларусь,"ИООО ""Горецкий пищевой комбинат"", 213410, Могилевская обл., г. Горки, ул. Мира, д. 19, .",-899818178,250,гр,"EXPONENTA HIGH-PRO со вкусом вишня-ревень – обезжиренный кисломолочный напиток с высоким содержанием белка, который помогает эффективно восполнить норму белка, быстро насыщает и надолго избавляет от чувства голода. Рекомендуется всем, кто заботится о себе!
",,,,,81d9ca08-c960-4195-960f-c6eaafe9b5e7,False,https://avatars.mds.yandex.net/get-eda/3506707/ccb231c053fce306afff9e60a7e905ac/{w}x{h},
Напиток Кисломолочный Экспонента Обезжиренный Кокос-Миндаль,,,3.26,,Республика Беларусь,"ИООО ""Горецкий пищевой комбинат"", 213410, Могилевская обл., г. Горки, ул. Мира, д. 19, .",-895195679,250,гр,"EXPONENTA HIGH-PRO со вкусом кокос и миндаль– обезжиренный кисломолочный напиток с высоким содержанием белка, который помогает эффективно восполнить норму белка, быстро насыщает и надолго избавляет от чувства голода. Рекомендуется всем, кто заботится о себе!
",,,,,e35517c7-002e-48d6-90c6-50a17f6aefa6,False,https://avatars.mds.yandex.net/get-eda/3580810/685ee01fcd4cf327598e687a1b35a6cb/{w}x{h},
Напиток Кисломолочный Экспонента Натуральный,,,3.26,,Республика Беларусь,"ИООО ""Горецкий пищевой комбинат"", 213410, Могилевская обл., г. Горки, ул. Мира, д. 19, .",-899763010,250,гр,"EXPONENTA HIGH-PRO – обезжиренный кисломолочный напиток с высоким содержанием белка, который помогает эффективно восполнить норму белка, быстро насыщает и надолго избавляет от чувства голода. Рекомендуется всем, кто заботится о себе!

",,,,,077ef61e-a3b8-41a3-9193-7c6c88550876,False,https://avatars.mds.yandex.net/get-eda/2394388/446c0c103883a3bcb41617f25fb920f2/{w}x{h},
Масло Элитное Сливочное 84%,Масло Элитное Сливочное 84% 180гр,,4.15,,Республика Беларусь,Бабушкина Крынка ОАО,-895194631,180,гр,Масло Элитное Сливочное 84% 180гр,,,,,b5bfbdf1-c9eb-4b3a-a257-18fa5ea893d8,False,https://avatars.mds.yandex.net/get-eda/1380298/74dd3fc3fdc5c0a95976bb6b386271fa/{w}x{h},
Творог 9%,Творог 9% 200гр,,1.83,,Республика Беларусь,Смолевичи Молоко ЗАО,-895194595,200,гр,Творог 9% 200гр,,,,,76dadaa5-9730-4d97-8608-ef16f5074e1c,False,https://avatars.mds.yandex.net/get-eda/3569651/bed11121639ff177fae6aaa58edb979b/{w}x{h},
Молоко Сгущенное Глубокое с Сахаром с Кольцом 8.5%,Молоко Сгущенное Глубокое с Сахаром с Кольцом 8.5% 380гр,,4.00,,Республика Беларусь,Глубокский Молочноконсервный Комбинат ОАО,-1174078688,380,гр,Молоко Сгущенное Глубокое с Сахаром с Кольцом 8.5% 380гр,,,,,6c2deb43-5758-4f97-9f24-1cc2d9990bd7,False,https://avatars.mds.yandex.net/get-eda/3508859/0617105265a0c2013f76375bf5be45ae/{w}x{h},
Молоко Сгущенное Глубокое с Какао,Молоко Сгущенное Глубокое с Какао 380гр,,4.47,,Республика Беларусь,Глубокский Молочноконсервный Комбинат ОАО,-1119798720,380,гр,Молоко Сгущенное Глубокое с Какао 380гр,,,,,acb426cf-82b0-4b46-8a4d-d87218c404af,False,https://avatars.mds.yandex.net/get-eda/3682162/2b0af9ae1a94fdcc71bdfa75e0841ef4/{w}x{h},
"Молоко Концентрированное Глубокое 8,6%","Молоко Концентрированное Глубокое 8,6% 300гр",,2.55,,Республика Беларусь,Глубокский Молочноконсервный Комбинат ОАО,-1079077035,300,гр,"Молоко Концентрированное Глубокое 8,6% 300гр",,,,,391f9f1d-d8e9-4009-9692-86165b0cb4a9,False,https://avatars.mds.yandex.net/get-eda/2806911/cc419830586d1d48e92e010e9de52aab/{w}x{h},
Сливки Сгущенные Глубокое с Сахаром 19%,Сливки Сгущенные Глубокое с Сахаром 19% 360гр,,5.10,,Республика Беларусь,Глубокский Молочноконсервный Комбинат ОАО,-1174078697,360,гр,Сливки Сгущенные Глубокое с Сахаром 19% 360гр,,,,,780f0661-edff-4709-80cd-1b1b8598397b,False,https://avatars.mds.yandex.net/get-eda/3735503/c99ec64f7187950565b25a7e9274f720/{w}x{h},
"Молоко Сгущенное Глубокое с Фруктозой 8,5%","Молоко Сгущенное Глубокое с Фруктозой 8,5% 370гр",,4.40,,Республика Беларусь,Глубокский Молочноконсервный Комбинат ОАО,-1079077025,370,гр,"Молоко Сгущенное Глубокое с Фруктозой 8,5% 370гр",,,,,9c3a8715-ab94-4662-a85b-a15ac38d9316,False,https://avatars.mds.yandex.net/get-eda/2783965/3fcb6c66b84606a7447a5bcdd95bd8be/{w}x{h},
Молоко Сгущенное Глубокое Цикорий 7%,Молоко Сгущенное Глубокое Цикорий 7% 380гр,,4.22,,Республика Беларусь,Глубокский Молочноконсервный Комбинат ОАО,-1119798735,380,гр,Молоко Сгущенное Глубокое Цикорий 7% 380гр,,,,,5851c22e-0d86-4ce6-9f04-6829e6822ed5,False,https://avatars.mds.yandex.net/get-eda/3816972/eb6b897571395441cb13a41e35b4a1fe/{w}x{h},
Йогурт СуперКид Ваниль-Конфеты 2%,Йогурт СуперКид Ваниль-Конфеты 2% 103гр,,1.54,1.23,Республика Беларусь,Савушкин Продукт ОАО,-1612989758,103,гр,Йогурт СуперКид Ваниль-Конфеты 2% 103гр,,,,,ad8d76b0-5e53-4558-9cb1-b06d4233dd70,False,https://avatars.mds.yandex.net/get-eda/3807631/918673ec0aa486ea02f8cdab2982d60c/{w}x{h},
"Картофель Ранний РБ ","Картофель Ранний РБ ",,0.97,,Иран,---,-895194833,1,kg,"Картофель Ранний РБ ",,,,,20e6934c-62f1-4c33-97db-f9fb3376706d,False,https://avatars.mds.yandex.net/get-eda/3525402/d92c625e0b952f2b251cf1d58cdcd0b5/{w}x{h},
"Свекла мытая фасованная ",свекла мытая,,1.84,,Иран,---,-899762954,1,kg,свекла мытая,,,,,4f9699fe-ee0d-450e-a0a2-36788cd0c27d,False,https://avatars.mds.yandex.net/get-eda/3512826/ec5b65b2cdeeb0d98f0ea9d627c3e22e/{w}x{h},
"Чеснок импортный Китай ",чеснок импортный,,2.73,,Иран,---,-895194390,300,g,чеснок импортный,,,,,377b1c09-0a7a-4094-93d1-4fbf8e6e7fac,False,https://avatars.mds.yandex.net/get-eda/3805363/118441ee27c016dbf393d3534149a985/{w}x{h},
"Лук импортный ","Лук импортный ",,3.31,2.32,Иран,---,-895195199,800,g,"Лук импортный ",,,,,48ecfaf1-3814-464c-908e-fb4c7c3e57d5,False,https://avatars.mds.yandex.net/get-eda/3529621/4550b3df382bfdca86c948caa1e46841/{w}x{h},
"Капуста Краснокачанная ","Капуста Краснокачанная ",,1.86,1.40,Иран,---,-899762841,1,kg,"Капуста Краснокачанная ",,,,,c08c53aa-d3a6-4bf2-b32f-90b6afef065b,False,https://avatars.mds.yandex.net/get-eda/3772784/64055d1b67b6ac9179ea6d18529fe20e/{w}x{h},
"Имбирь ","имбирь
",,3.77,3.33,Иран,---,-895195891,300,g,"имбирь
",,,,,bee9bf3f-6eb3-48ed-a7c7-0a25b132dd92,False,https://avatars.mds.yandex.net/get-eda/3807432/dea645fea481fc1bd25b0320cbe30c73/{w}x{h},
Грибы Шампиньоны Суседский Маентак,грибы шампиньоны,,5.26,,Республика Беларусь,Грибная Страна КФХ,-895195020,400,гр,грибы шампиньоны,,,,,a445d8f4-3b5f-4f65-854d-63ed43372212,False,https://avatars.mds.yandex.net/get-eda/3581687/cff89dc28849f45190a9aabd10dd3586/{w}x{h},
"Сельдерей Стебли ",сельдерей стебли,,4.46,3.13,Иран,---,-895195452,600,g,сельдерей стебли,,,,,a111c817-a5dc-4ad0-aa00-dd432c8c3ccd,False,https://avatars.mds.yandex.net/get-eda/3507787/950f10292f806ad187139fb4eed6a234/{w}x{h},
Шпинат Свежемороженый и Зимой и Летом Резаный,"листья шпината резанные замороженные 
",,5.99,,Россия,"ООО «Мир заморозки» 142455, Московская обл., Ногинский р-н, г. Электроугли, ул. Железнодорожная, д. 22, Россия.",-895194435,400,гр,"листья шпината резанные замороженные 
",,,,,8ff6066b-964e-47e8-81e6-587a89b8b324,False,https://avatars.mds.yandex.net/get-eda/3472725/b1c5355e07e5117b2ce5057a588781cd/{w}x{h},
Смесь Бондюэль Овощной микс с Томатами,,,3.99,,Россия,Кубанские Консервы ООО,-895194151,200,гр,"Омлет или яичница с овощами – отличное решение для полезного завтрака. Но овощи надо чистить, мыть, резать – и чаще всего эта составляющая исключается. Теперь овощи всегда будут под рукой. Bonduelle представляет новинку – готовое решение для завтрака. Овощной микс с томатами, сладким перцем и красным луком позволит приготовить утреннюю еду за считанные минуты. Упаковка по 200 г оптимально подойдет для 2 человек.",,,,,ce634708-6086-48ea-82f8-340fab500605,False,https://avatars.mds.yandex.net/get-eda/3502800/4a3d92713de10133429695c721c9157c/{w}x{h},
Смесь Бондюэль Овощной Микс с Кабачком,,,3.99,,Россия,Кубанские Консервы ООО,-899763041,200,гр,"Хотите завтракать правильно, но вечно нет времени? Bonduelle представляет новинку – готовое решение для завтрака. Овощной микс из кабачков, сладкого перца, стручковой фасоли и красного лука идеально сочетается с яйцами. Приготовить с нашей добавкой омлет или яичницу – решать вам. Мы гарантируем, что богатство вкуса и вся польза витаминов вам обеспечены с самого утра.",,,,,c7d1244d-936f-4256-bf04-500bfcc62a62,False,https://avatars.mds.yandex.net/get-eda/3507668/ad6468b20945905593bf02aad211089e/{w}x{h},
Смесь Овощная Бондюэль Гавайский Микс,,,5.69,,Россия,Кубанские Консервы ООО,-899762595,400,гр,"Овощи с рисом «Гавайский микс» — простой вариант обеда или ужина за 10 минут. В состав входят пропаренный рис, зеленый горошек, зерна кукурузы и сладкий перец. Продукция Bonduelle выращена фермерами в экологически чистых регионах. Сбор урожая производится вручную на пике зрелости, когда овощи наиболее вкусны и полезны. Продукт служит источником витаминов группы B, С, A, калия, магния и пищевых волокон. 100 граммов смеси для жарки содержат 120 калорий. Готовую гавайскую смесь не нужно предварительно размораживать. Перед употреблением прогрейте ее на сковороде с маслом в течение 10 минут. Подайте смесь на гарнир или как самостоятельное блюдо.",,,,,0eeec5f0-c19d-49cb-85bc-def9833e89ef,False,https://avatars.mds.yandex.net/get-eda/3595381/25350564639da232259e5ff1958eb3ac/{w}x{h},
Смесь Овощная Бондюэль Мексиканский Микс,,,5.38,,Россия,Кубанские Консервы ООО,-899818284,400,гр,"Овощи с рисом «Мексиканский микс» — простое решение для обеда или для ужина за 10 минут. В состав входят пропаренный рис, зёрна кукурузы, зеленый горошек, сладкий перец, стручковая фасоль, лук и морковь. Продукция Bonduelle выращена фермерами в экологически чистых регионах. Сбор урожая производится вручную на пике зрелости, когда сезонные овощи наиболее вкусны и полезны. Продукт служит источником витаминов A, B, C, K, калия и клетчатки. 100 граммов смеси с кукурузой содержат 81 калорию. Готовую смесь для жарки не нужно предварительно размораживать. Перед употреблением прогрейте ее на сковороде с маслом в течение 10 минут. ",,,,,10244178-2e15-44d4-9848-65c007f8fee4,False,https://avatars.mds.yandex.net/get-eda/3772784/c3e1fcf2c608d09ba6f58c24c2b3208b/{w}x{h},
Смесь Овощная Бондюэль Вок,,,8.15,,Россия,Кубанские Консервы ООО,-899763006,400,гр,"Вок – настоящая жемчужина азиатской кухни. Традиция готовить в глубокой сковороде-вок пришла из Азии и уже захватила весь мир. Такой способ приготовления сохраняет все полезные свойства овощей, и дарит блюду неповторимую текстуру – все ингредиенты остаются сочными, упругими и чуть хрустящими. Насладитесь оригинальным вкусом овощей-вок! Cостав и условия хранения:
Перец сладкий, капуста цветная соцветия, морковь, фасоль стручковая, грибы шампиньоны резаные, лук репчатый, имбирь. Хранить при температуре не выше минус 18°С и относительной влажности воздуха не более 95%",,,,,f69286fb-72eb-45e3-a68f-8bb8aad3fc3b,False,https://avatars.mds.yandex.net/get-eda/3508859/d53cd168c53fb13ca27aa6e05e16fbeb/{w}x{h},
Смесь Овощная Бондюэль Фасулье,,,8.14,,Россия,Кубанские Консервы ООО,-895194843,400,гр,"Турецкая кухня — это сокровищница разнообразных рецептов, которая объединяет традиции Востока и Средиземноморья. Блюда из бобовых и овощей занимают в ней особое место. Вкусные и сытные – они надолго запоминаются тем, кто попробовал их хотя бы раз. Пробуйте и вы турецкий вариант овощного рагу с фасолью!",,,,,40f5d606-1b77-4621-80e6-0373e8ee1887,False,https://avatars.mds.yandex.net/get-eda/3580810/ccb9727fdf22de644a823bbd09c1e5c6/{w}x{h},
Смесь Овощная Бондюэль Сабджи,,,8.14,,Россия,Кубанские Консервы ООО,-895194521,400,гр,"Сабджи – это классика индийской аутентичной кухни, настоящая гармония вкуса и цвета. Сабджи в переводе с хинди означает «овощи» и, по сути, похоже на рагу, но с «изюминкой» – букетом ароматных пряностей и специй. Начните знакомство с одной из богатейших кулинарных традиций в мире, приготовив пряные овощи в индийском стиле.",,,,,eb97132e-00d6-4d9f-a8c8-b275e8f45012,False,https://avatars.mds.yandex.net/get-eda/3502800/33edb624b5033af4ff19fed3f20d428f/{w}x{h},
"Лимон ",лимон,,2.13,,Иран,---,-895195532,350,g,,,,,,36045df8-8663-4624-84a4-117c65b20319,False,https://avatars.mds.yandex.net/get-eda/3436037/14dea15c05939220b1097c233f6c6bb6/{w}x{h},
"Грейпфрут ",грейпфрут,,4.54,3.18,Иран,---,-899762793,800,g,,,,,,2ea2782d-aab0-45b6-9449-9c4050fa6599,False,https://avatars.mds.yandex.net/get-eda/3784951/34717dce8e05c96f3aeb7eeda5b88f6d/{w}x{h},
"Гранат ",гранат,,6.11,5.68,Иран,---,-895195993,800,g,,,,,,915e62f3-f48a-40cc-a1f3-25721eae82d3,False,https://avatars.mds.yandex.net/get-eda/3529621/8806795754ccefad803dda3608e7e469/{w}x{h},
"Манго ",манго,,7.16,4.30,Иран,---,-895195913,600,g,,,,,,14935a76-4ea2-49f0-84e3-8e692543f11d,False,https://avatars.mds.yandex.net/get-eda/2050703/68abdf6c551dc4df1fa24d86ed351177/{w}x{h},
"Кокос ","Кокос ",,2.86,2.04,Иран,---,-895195929,400,g,,,,,,ad04cf7b-a6c3-4299-98df-5cb70c4643c2,False,https://avatars.mds.yandex.net/get-eda/3337779/a9c47126768c074ad7648dc698eda023/{w}x{h},
"Ананас ",ананас,,18.62,13.04,Иран,---,-895195026,2,kg,,,,,,09f84c3a-6b0d-4b5c-a29b-0305f321da0f,False,https://avatars.mds.yandex.net/get-eda/3774488/e6065c4ccad42a67a583cc943986782e/{w}x{h},
"Дыня ",дыня,,27.72,19.40,Иран,---,-1612989768,2,kg,дыня,,,,,f1190d14-e74e-41c7-9125-b9b6e682189e,False,https://avatars.mds.yandex.net/get-eda/3813301/b8bdbeebd8db426db8bdc247c8a89079/{w}x{h},
Бананы Белый Пеликан Сушеные,Бананы Белый Пеликан Сушеные 150гр,,3.72,,Вьетнам,"Вегетехцо Хочиминх циты, 24 Труонг Динх стр., Дист.3, Хочиминх циты, Вьетнам",-913981459,150,гр,Бананы Белый Пеликан Сушеные 150гр,,,,,dd728ff7-b6a0-41d9-8cbf-c282136c6c45,False,https://avatars.mds.yandex.net/get-eda/1962206/b1a08303d492bc6cb5f483a83aabaf1f/{w}x{h},
Чернослив Альвадо,Чернослив Альвадо 90гр,,3.07,,Республика Беларусь,Алижан ЧП,-895194242,90,гр,Чернослив Альвадо 90гр,,,,,c3feb092-2fcf-44f5-8517-cc39fe3bc3e3,False,https://avatars.mds.yandex.net/get-eda/3816972/020db7951f19961ea2492faa2886b691/{w}x{h},
Изюм Султана Альвадо,Изюм Султана Альвадо 80гр,,1.61,,Иран,Shokooh Bonab Ltd,-895195450,80,гр,Изюм Султана Альвадо 80гр,,,,,0c6283e2-5cc4-4e0a-9fa4-8bc016812a2b,False,https://avatars.mds.yandex.net/get-eda/3529908/fd5bbdc40127d22267dcb2a5c4dd9f95/{w}x{h},
Продукт Растительный Вяленый Гринвейс со Вкусом Курицы,,,5.68,,Россия,Партнер М,-895195984,36,гр,"Растительные джерки GREENWISE со вкусом курицы станет отличным решением для тех, кто решил отказаться от продуктов животного происхождения из-за диеты или перейти на вегетарианский образ жизни, но все еще скучает по дымному, текстурированному вкусу мяса. 
Богаты белками, клетчаткой, витаминами, антиоксидантами и другими питательными веществами, полезными для пищеварительной системы. 
Не содержит ГМО, глютена, холестерина и трансжиров. 
Легко жуется, не расслаивается и не повреждает мягкие ткани полости рта.",,,,,ae9a07de-bb36-4759-b49d-d46433596869,False,https://avatars.mds.yandex.net/get-eda/2394388/019f502c7251829f3a9c47393dee10a2/{w}x{h},
Продукт Растительный Вяленый Гринвейс со Вкусом Говядины,,,5.68,,Россия,Партнер М,-895195555,36,гр,"Растительные джерки — это кусочки растительного вяленого «мяса», готовый к употреблению снек с высоким количеством белка. 
Джерки могут употребляться не только как вкусный и питательный перекус на бегу, но и добавляться в салаты, использоваться как посыпка для пасты или топпинг для пиццы.",,,,,ccbc0598-84b7-413e-93ef-3bb61a567baa,False,https://avatars.mds.yandex.net/get-eda/2394388/bddef60622e6553de1afbd9063b12f4a/{w}x{h},
Рыба Свежемороженая Стейк Тунца,Рыба Свежемороженая Стейк Тунца 400гр,,17.95,,Вьетнам,Dayseaday,-895195218,400,гр,Рыба Свежемороженая Стейк Тунца 400гр,,,,,2da93589-45ee-4e0b-b4df-b2594b09bcf1,False,https://avatars.mds.yandex.net/get-eda/3593277/b3daa75e716ca52f4a0f5d14439b7858/{w}x{h},
Рыба Свежемороженая Филе Палтуса Дел Маре с Кожей,РЫБА СВ/М ФИЛЕ ПАЛТУСА ДЕЛ МАРЕ С КОЖЕЙ 600ГР,,17.42,,Россия,Фаворит Продукт ООО,-895195249,600,гр,РЫБА СВ/М ФИЛЕ ПАЛТУСА ДЕЛ МАРЕ С КОЖЕЙ 600ГР,,,,,91c3e910-b710-4dfa-afc7-3f8aa385512c,False,https://avatars.mds.yandex.net/get-eda/3534679/e674b87e638d9ccae4a63dc459a2b723/{w}x{h},
Рыба Треска Филе Лоин Без Кожи,,,22.44,,Россия,Минх Пху Хау Гианг Сеафоод Корп,-913981445,400,гр,"Лучшая часть филе- лоин. Уже очищена от кожи
и костей. Всего 1 г жира
содержится в 100 г
продукта",,,,,3a929e54-494d-4cd3-b02a-1478d35593b2,False,https://avatars.mds.yandex.net/get-eda/3781088/c1101a5218ce75773b43fcd765bbdd1d/{w}x{h},
Филе Желтоперого Тунца Мороженый,,,14.50,,Вьетнам,Hai Vuong Company Limited,-1239761039,500,гр,"Тунец является лидером по содержанию белка среди рыб. При любом виде обработки мясо рыбы сохраняет полезные качества и вкус. Тунца отваривают, тушат, запекают, жарят, консервируют и т.д. Вдобавок ко всему, тунец – единственная рыба, в которой не заводятся паразиты опасные для человека и в Японии тунца едят сырым Является диетическим продуктом, а также одной из наиболее употребляемых рыб на планете. Вы можете купить свежемороженые медальоны из тунца с доставкой на дом в нашем интернет-магазине и насладиться отменным вкусом этой рыбы.",,,,,8ebb9dd2-5f3a-46a7-aad5-6bab96e2ecfe,False,https://avatars.mds.yandex.net/get-eda/3525402/5302467986b759f830e5360f30595998/{w}x{h},
Рыба Скумбрия Атлантическая Холодного Копчения Кусочки,Скумбрия  Атлантическая кусочки холодного копчения 450 г,,14.25,,Республика Беларусь,Санта Бремор СП ООО,-899818350,450,гр,Скумбрия  Атлантическая кусочки холодного копчения 450 г,,,,,29c5f19c-a007-49a6-9e43-c66b9b3cb56f,False,https://avatars.mds.yandex.net/get-eda/3525402/079c4ff37819ef8c576fe8de7eb14566/{w}x{h},
Креветки Королевские Ваннамеи Свежемороженые без Головы," КРЕВЕТКИ КОРОЛЕВСКИЕ ВАННАМЕИ СВ/М Б/Г 500ГР",,33.57,,Индия,Ulka Sea Foods Pvt,-895195453,500,гр," КРЕВЕТКИ КОРОЛЕВСКИЕ ВАННАМЕИ СВ/М Б/Г 500ГР",,,,,d2295cb1-15d5-4ecf-bf0a-2d38c3e5a705,False,https://avatars.mds.yandex.net/get-eda/3772784/c1c33bdc8a60e6ebddaef64d2e199ca5/{w}x{h},
Мясо Чилийских Мидий,,,12.64,,Россия,Минх Пху Хау Гианг Сеафоод Корп,-895194142,400,гр,"Мякоть мидий состоит из легких белков, незаменимых аминокислот, в ней содержатся витамины, минеральные вещества. В упаковке 56г. белка .",,,,,65660402-16bc-4b31-9222-57c6e35e31c6,False,https://avatars.mds.yandex.net/get-eda/3439028/1652b7b92670fe58a1f78269e9f0476a/{w}x{h},
